11:25:10 18-9-2024;492.22524531249996;69.9571265625;69.7615859375
11:25:20 18-9-2024;538.5199258271032;58.85692990751811;58.63561336133711
11:25:30 18-9-2024;539.0433536857225;59.8955238926965;59.751822813218936
11:25:40 18-9-2024;540.1146046835454;61.71431746190201;61.83018295407377
11:25:50 18-9-2024;538.3820100032092;58.722903094105156;58.57704503558387
11:26:0 18-9-2024;531.8041853251348;45.29640982235088;45.1639473926674
11:26:10 18-9-2024;531.0012651141897;43.53467828067341;43.09596163797069
11:26:20 18-9-2024;531.0000013412122;43.84925005703833;43.646766579029034
11:26:30 18-9-2024;533.0598073093586;47.84996206149879;47.72261428561658
11:26:40 18-9-2024;536.1315182302936;54.140588923883975;53.78935880780171
11:26:50 18-9-2024;538.8371605645528;59.23499097875536;59.076296346625725
11:27:0 18-9-2024;538.7628002770932;59.510511409201676;59.256323607672634
11:27:10 18-9-2024;538.4400751214697;58.83734615124803;58.72908299693996
11:27:20 18-9-2024;538.0004599794397;57.225423559049744;57.06517458511719
11:27:30 18-9-2024;538.0225007134479;58.238583197365834;57.85864503467111
11:27:40 18-9-2024;539.488465591831;60.7717793552447;60.82846880651936
11:27:50 18-9-2024;539.977371857685;61.51141885018106;61.742590106324464
11:28:0 18-9-2024;539.9672574967269;61.23278374489172;61.281927877928155
11:28:10 18-9-2024;540.0977684280501;61.58632873528514;61.693326444487454
