Fecha;Sensor 1;Sensor 2;Sensor 3
14:13:8 31-7-2024;17,0;-2,50;-2,50
14:13:10 31-7-2024;19,64;-2,50;-2,50
14:13:12 31-7-2024;20,66;-2,50;-2,50
14:13:14 31-7-2024;20,85;-2,50;-2,50
14:13:16 31-7-2024;20,89;-2,50;-2,50
14:13:18 31-7-2024;20,89;-2,50;-2,50
14:13:20 31-7-2024;20,89;-2,50;-2,50
14:13:22 31-7-2024;20,89;-2,50;-2,50
14:13:24 31-7-2024;20,91;-2,50;-2,50
14:13:26 31-7-2024;20,91;-2,50;-2,50
14:13:28 31-7-2024;20,91;-2,50;-2,50
14:13:30 31-7-2024;20,91;-2,50;-2,50
14:13:32 31-7-2024;20,91;-2,50;-2,50
14:13:34 31-7-2024;20,91;-2,50;-2,50
14:13:36 31-7-2024;20,89;-2,50;-2,50
14:13:38 31-7-2024;20,89;-2,50;-2,50
14:13:40 31-7-2024;20,91;-2,50;-2,50
14:13:42 31-7-2024;20,91;-2,50;-2,50
14:13:44 31-7-2024;20,89;-2,50;-2,50
14:13:46 31-7-2024;20,89;-2,50;-2,50
14:13:48 31-7-2024;20,89;-2,50;-2,50
14:13:50 31-7-2024;20,89;-2,50;-2,50
14:13:52 31-7-2024;20,89;-2,50;-2,50
14:13:54 31-7-2024;20,89;-2,50;-2,50
14:13:56 31-7-2024;20,89;-2,50;-2,50
14:13:58 31-7-2024;20,89;-2,50;-2,50
14:14:0 31-7-2024;20,91;-2,50;-2,50
14:14:2 31-7-2024;20,89;-2,50;-2,50
14:14:4 31-7-2024;20,89;-2,50;-2,50
14:14:6 31-7-2024;20,89;-2,50;-2,50
14:14:8 31-7-2024;20,89;-2,50;-2,50
14:14:10 31-7-2024;20,89;-2,50;-2,50
14:14:12 31-7-2024;20,89;-2,50;-2,50
14:14:14 31-7-2024;20,89;-2,50;-2,50
14:14:16 31-7-2024;20,89;-2,50;-2,50
14:14:18 31-7-2024;20,89;-2,50;-2,50
14:14:20 31-7-2024;20,89;-2,50;-2,50
14:14:22 31-7-2024;20,89;-2,50;-2,50
14:14:24 31-7-2024;20,89;-2,50;-2,50
14:14:26 31-7-2024;20,89;-2,50;-2,50
14:14:28 31-7-2024;20,89;-2,50;-2,50
14:14:30 31-7-2024;20,89;-2,50;-2,50
14:14:32 31-7-2024;20,89;-2,50;-2,50
14:14:34 31-7-2024;20,89;-2,50;-2,50
14:14:36 31-7-2024;20,89;-2,50;-2,50
14:15:8 31-7-2024;18,28;-2,50;-2,50
14:15:10 31-7-2024;20,30;-2,50;-2,50
14:15:12 31-7-2024;20,73;-2,50;-2,50
14:15:14 31-7-2024;20,82;-2,50;-2,50
14:15:18 31-7-2024;16,91;-2,50;-2,50
14:15:20 31-7-2024;19,55;-2,50;-2,50
14:15:22 31-7-2024;20,55;-2,50;-2,50
14:15:24 31-7-2024;20,76;-2,50;-2,50
14:15:26 31-7-2024;20,80;-2,50;-2,50
14:15:28 31-7-2024;20,80;-2,50;-2,50
14:15:30 31-7-2024;20,80;-2,50;-2,50
14:15:32 31-7-2024;20,80;-2,50;-2,50
14:15:34 31-7-2024;20,80;-2,50;-2,50
14:15:36 31-7-2024;20,80;-2,50;-2,50
14:15:38 31-7-2024;20,80;-2,50;-2,50
14:15:40 31-7-2024;20,80;-2,50;-2,50
14:15:42 31-7-2024;20,80;-2,50;-2,50
14:15:44 31-7-2024;20,80;-2,50;-2,50
14:15:46 31-7-2024;20,78;-2,50;-2,50
14:15:48 31-7-2024;20,78;-2,50;-2,50
14:15:50 31-7-2024;20,78;-2,50;-2,50
14:15:52 31-7-2024;20,78;-2,50;-2,50
14:15:54 31-7-2024;20,78;-2,50;-2,50
14:15:56 31-7-2024;20,78;-2,50;-2,50
