Fecha;Sensor 1;Sensor 2;Sensor 3
10:57:24 29-7-2024;19,69;-2,50;-2,50
10:57:26 29-7-2024;19,69;-2,50;-2,50
10:57:28 29-7-2024;19,69;-2,50;-2,50
10:57:30 29-7-2024;19,69;-2,50;-2,50
10:57:32 29-7-2024;19,69;-2,50;-2,50
10:57:34 29-7-2024;19,71;-2,50;-2,50
10:57:36 29-7-2024;19,71;-2,50;-2,50
10:57:38 29-7-2024;19,71;-2,50;-2,50
10:57:40 29-7-2024;19,71;-2,50;-2,50
10:57:42 29-7-2024;19,71;-2,50;-2,50
10:57:44 29-7-2024;19,71;-2,50;-2,50
10:57:46 29-7-2024;19,71;-2,50;-2,50
10:57:48 29-7-2024;19,71;-2,50;-2,50
10:57:50 29-7-2024;19,71;-2,50;-2,50
10:57:52 29-7-2024;19,71;-2,50;-2,50
10:57:54 29-7-2024;19,71;-2,50;-2,50
10:57:56 29-7-2024;19,71;-2,50;-2,50
10:57:58 29-7-2024;19,71;-2,50;-2,50
10:58:0 29-7-2024;19,71;-2,50;-2,50
10:58:2 29-7-2024;19,71;-2,50;-2,50
10:58:4 29-7-2024;19,71;-2,50;-2,50
10:58:6 29-7-2024;19,73;-2,50;-2,50
10:58:8 29-7-2024;19,71;-2,50;-2,50
10:58:10 29-7-2024;19,71;-2,50;-2,50
10:58:12 29-7-2024;19,71;-2,50;-2,50
10:58:14 29-7-2024;19,71;-2,50;-2,50
10:58:16 29-7-2024;19,71;-2,50;-2,50
10:58:18 29-7-2024;19,71;-2,50;-2,50
10:58:20 29-7-2024;19,71;-2,50;-2,50
10:58:22 29-7-2024;19,73;-2,50;-2,50
10:58:24 29-7-2024;19,73;-2,50;-2,50
10:58:26 29-7-2024;19,73;-2,50;-2,50
10:58:28 29-7-2024;19,73;-2,50;-2,50
10:58:30 29-7-2024;19,73;-2,50;-2,50
10:58:32 29-7-2024;19,71;-2,50;-2,50
10:58:34 29-7-2024;19,71;-2,50;-2,50
10:58:36 29-7-2024;19,71;-2,50;-2,50
10:58:38 29-7-2024;19,71;-2,50;-2,50
10:58:40 29-7-2024;19,71;-2,50;-2,50
10:58:42 29-7-2024;19,71;-2,50;-2,50
10:58:44 29-7-2024;19,71;-2,50;-2,50
10:58:46 29-7-2024;19,71;-2,50;-2,50
10:58:48 29-7-2024;19,71;-2,50;-2,50
10:58:50 29-7-2024;19,71;-2,50;-2,50
10:58:52 29-7-2024;19,71;-2,50;-2,50
10:58:54 29-7-2024;19,71;-2,50;-2,50
10:58:56 29-7-2024;19,73;-2,50;-2,50
10:58:58 29-7-2024;19,71;-2,50;-2,50
10:59:0 29-7-2024;19,71;-2,50;-2,50
10:59:2 29-7-2024;19,71;-2,50;-2,50
10:59:4 29-7-2024;19,71;-2,50;-2,50
10:59:6 29-7-2024;19,71;-2,50;-2,50
10:59:8 29-7-2024;19,71;-2,50;-2,50
10:59:10 29-7-2024;19,71;-2,50;-2,50
10:59:12 29-7-2024;19,76;-2,50;-2,50
10:59:14 29-7-2024;19,78;-2,50;-2,50
10:59:16 29-7-2024;19,80;-2,50;-2,50
10:59:18 29-7-2024;19,80;-2,50;-2,50
10:59:20 29-7-2024;19,80;-2,50;-2,50
10:59:22 29-7-2024;19,80;-2,50;-2,50
10:59:24 29-7-2024;19,82;-2,50;-2,50
10:59:26 29-7-2024;19,82;-2,50;-2,50
10:59:28 29-7-2024;19,80;-2,50;-2,50
10:59:30 29-7-2024;19,82;-2,50;-2,50
10:59:32 29-7-2024;19,80;-2,50;-2,50
10:59:34 29-7-2024;19,80;-2,50;-2,50
10:59:36 29-7-2024;19,80;-2,50;-2,50
10:59:38 29-7-2024;19,80;-2,50;-2,50
10:59:40 29-7-2024;19,80;-2,50;-2,50
10:59:42 29-7-2024;19,80;-2,50;-2,50
10:59:44 29-7-2024;19,80;-2,50;-2,50
10:59:46 29-7-2024;19,80;-2,50;-2,50
10:59:48 29-7-2024;19,82;-2,50;-2,50
10:59:50 29-7-2024;19,80;-2,50;-2,50
10:59:52 29-7-2024;19,80;-2,50;-2,50
10:59:54 29-7-2024;19,82;-2,50;-2,50
10:59:56 29-7-2024;19,82;-2,50;-2,50
10:59:58 29-7-2024;19,82;-2,50;-2,50
11:0:0 29-7-2024;19,82;-2,50;-2,50
11:0:2 29-7-2024;19,82;-2,50;-2,50
11:0:4 29-7-2024;19,82;-2,50;-2,50
11:0:6 29-7-2024;19,82;-2,50;-2,50
11:0:8 29-7-2024;19,82;-2,50;-2,50
11:0:10 29-7-2024;19,82;-2,50;-2,50
11:0:12 29-7-2024;19,82;-2,50;-2,50
11:0:14 29-7-2024;19,82;-2,50;-2,50
11:0:16 29-7-2024;19,82;-2,50;-2,50
11:0:18 29-7-2024;19,80;-2,50;-2,50
11:0:20 29-7-2024;19,82;-2,50;-2,50
11:0:22 29-7-2024;19,82;-2,50;-2,50
11:0:24 29-7-2024;19,82;-2,50;-2,50
11:0:26 29-7-2024;19,82;-2,50;-2,50
11:0:28 29-7-2024;19,82;-2,50;-2,50
11:0:30 29-7-2024;19,82;-2,50;-2,50
11:0:32 29-7-2024;19,82;-2,50;-2,50
11:0:34 29-7-2024;19,82;-2,50;-2,50
11:0:36 29-7-2024;19,82;-2,50;-2,50
11:0:38 29-7-2024;19,82;-2,50;-2,50
11:0:40 29-7-2024;19,82;-2,50;-2,50
11:0:42 29-7-2024;19,82;-2,50;-2,50
11:0:44 29-7-2024;19,82;-2,50;-2,50
11:0:46 29-7-2024;19,82;-2,50;-2,50
11:0:48 29-7-2024;19,82;-2,50;-2,50
11:0:50 29-7-2024;18,85;-2,50;-2,50
11:0:52 29-7-2024;16,75;-2,50;-2,50
11:0:54 29-7-2024;16,87;-2,50;-2,50
11:0:56 29-7-2024;19,7;-2,50;-2,50
11:0:58 29-7-2024;20,3;-2,50;-2,50
11:1:0 29-7-2024;20,25;-2,50;-2,50
11:1:2 29-7-2024;20,30;-2,50;-2,50
11:1:4 29-7-2024;19,23;-2,50;-2,50
11:1:6 29-7-2024;20,32;-2,50;-2,50
11:1:8 29-7-2024;21,14;-2,50;-2,50
11:1:10 29-7-2024;21,53;-2,50;-2,50
11:1:12 29-7-2024;21,39;-2,50;-2,50
11:1:14 29-7-2024;21,53;-2,50;-2,50
11:1:16 29-7-2024;21,33;-2,50;-2,50
11:1:18 29-7-2024;21,42;-2,50;-2,50
11:1:20 29-7-2024;21,39;-2,50;-2,50
11:1:22 29-7-2024;21,39;-2,50;-2,50
11:1:24 29-7-2024;21,23;-2,49;-2,50
11:1:26 29-7-2024;19,48;-2,48;-2,50
11:1:28 29-7-2024;19,42;-2,49;-2,50
11:1:30 29-7-2024;19,53;-2,49;-2,50
11:1:32 29-7-2024;19,57;-2,48;-2,50
11:1:34 29-7-2024;19,62;-2,49;-2,50
11:1:36 29-7-2024;19,33;-2,48;-2,50
11:1:38 29-7-2024;19,44;-2,49;-2,50
11:1:40 29-7-2024;21,21;-2,50;-2,50
11:1:42 29-7-2024;21,64;-2,50;-2,50
11:1:44 29-7-2024;21,67;-2,50;-2,50
11:1:46 29-7-2024;21,66;-2,50;-2,50
11:1:48 29-7-2024;21,66;-2,50;-2,50
11:1:50 29-7-2024;21,66;-2,50;-2,50
11:1:52 29-7-2024;21,66;-2,50;-2,50
11:1:54 29-7-2024;21,67;-2,50;-2,50
11:1:56 29-7-2024;21,67;-2,50;-2,50
11:1:58 29-7-2024;21,85;-2,50;-2,50
11:2:0 29-7-2024;21,80;-2,48;-2,50
11:2:2 29-7-2024;21,78;-2,49;-2,50
11:2:4 29-7-2024;21,76;-2,49;-2,50
11:2:6 29-7-2024;21,62;-2,50;-2,50
11:2:8 29-7-2024;21,62;-2,50;-2,50
11:2:10 29-7-2024;21,64;-2,50;-2,50
11:2:12 29-7-2024;21,64;-2,50;-2,50
11:2:14 29-7-2024;21,66;-2,50;-2,50
11:2:16 29-7-2024;21,69;-2,50;-2,50
11:2:18 29-7-2024;21,71;-2,50;-2,50
11:2:20 29-7-2024;21,71;-2,50;-2,50
11:2:22 29-7-2024;21,73;-2,50;-2,50
11:2:24 29-7-2024;21,75;-2,50;-2,50
11:2:26 29-7-2024;21,76;-2,50;-2,50
11:2:28 29-7-2024;21,76;-2,50;-2,50
11:2:30 29-7-2024;21,76;-2,50;-2,50
11:2:32 29-7-2024;21,76;-2,50;-2,50
11:2:34 29-7-2024;21,76;-2,50;-2,50
11:2:36 29-7-2024;21,76;-2,50;-2,50
11:2:38 29-7-2024;21,76;-2,50;-2,50
11:2:40 29-7-2024;21,76;-2,50;-2,50
11:2:42 29-7-2024;21,76;-2,50;-2,50
11:2:44 29-7-2024;21,76;-2,50;-2,50
11:2:46 29-7-2024;21,76;-2,50;-2,50
11:2:48 29-7-2024;21,76;-2,50;-2,50
11:2:50 29-7-2024;21,76;-2,50;-2,50
11:2:52 29-7-2024;21,76;-2,50;-2,50
11:2:54 29-7-2024;21,76;-2,50;-2,50
11:2:56 29-7-2024;21,76;-2,50;-2,50
11:2:58 29-7-2024;21,78;-2,50;-2,50
11:3:0 29-7-2024;21,76;-2,50;-2,50
11:3:2 29-7-2024;21,78;-2,50;-2,50
11:3:4 29-7-2024;21,76;-2,50;-2,50
11:3:6 29-7-2024;21,76;-2,50;-2,50
11:3:8 29-7-2024;21,78;-2,50;-2,50
11:3:10 29-7-2024;21,78;-2,50;-2,50
11:3:12 29-7-2024;21,78;-2,50;-2,50
11:3:14 29-7-2024;21,78;-2,50;-2,50
11:3:16 29-7-2024;21,78;-2,50;-2,50
11:3:18 29-7-2024;21,78;-2,50;-2,50
11:3:20 29-7-2024;21,78;-2,50;-2,50
11:3:22 29-7-2024;21,78;-2,50;-2,50
11:3:24 29-7-2024;21,78;-2,50;-2,50
11:3:26 29-7-2024;21,80;-2,50;-2,50
11:3:28 29-7-2024;21,80;-2,50;-2,50
11:3:30 29-7-2024;21,80;-2,50;-2,50
11:3:32 29-7-2024;21,80;-2,50;-2,50
11:3:34 29-7-2024;21,78;-2,50;-2,50
11:3:36 29-7-2024;21,80;-2,50;-2,50
11:3:38 29-7-2024;21,80;-2,50;-2,50
11:3:40 29-7-2024;21,80;-2,50;-2,50
11:3:42 29-7-2024;21,80;-2,50;-2,50
11:3:44 29-7-2024;21,80;-2,50;-2,50
11:3:46 29-7-2024;21,80;-2,50;-2,50
11:3:48 29-7-2024;21,80;-2,50;-2,50
11:3:50 29-7-2024;21,80;-2,50;-2,50
11:3:52 29-7-2024;21,80;-2,50;-2,50
11:3:54 29-7-2024;21,80;-2,50;-2,50
11:3:56 29-7-2024;21,80;-2,50;-2,50
11:3:58 29-7-2024;21,80;-2,50;-2,50
11:4:0 29-7-2024;21,80;-2,50;-2,50
11:4:2 29-7-2024;21,80;-2,50;-2,50
11:4:4 29-7-2024;21,80;-2,50;-2,50
11:4:6 29-7-2024;21,80;-2,50;-2,50
11:4:8 29-7-2024;21,80;-2,50;-2,50
11:4:10 29-7-2024;21,80;-2,50;-2,50
11:4:12 29-7-2024;21,80;-2,50;-2,50
11:4:14 29-7-2024;21,80;-2,50;-2,50
11:4:16 29-7-2024;21,80;-2,50;-2,50
11:4:18 29-7-2024;21,80;-2,50;-2,50
11:4:20 29-7-2024;21,80;-2,50;-2,50
11:4:22 29-7-2024;21,80;-2,50;-2,50
11:4:24 29-7-2024;21,82;-2,50;-2,50
11:4:26 29-7-2024;21,80;-2,50;-2,50
11:4:28 29-7-2024;21,82;-2,50;-2,50
11:4:30 29-7-2024;21,82;-2,50;-2,50
11:4:32 29-7-2024;21,80;-2,50;-2,50
11:4:34 29-7-2024;21,82;-2,50;-2,50
11:4:36 29-7-2024;21,82;-2,50;-2,50
11:4:38 29-7-2024;21,82;-2,50;-2,50
11:4:40 29-7-2024;21,82;-2,50;-2,50
11:4:42 29-7-2024;21,82;-2,50;-2,50
11:4:44 29-7-2024;21,80;-2,50;-2,50
11:4:46 29-7-2024;21,82;-2,50;-2,50
11:4:48 29-7-2024;21,80;-2,50;-2,50
11:4:50 29-7-2024;21,82;-2,50;-2,50
11:4:52 29-7-2024;21,82;-2,50;-2,50
11:4:54 29-7-2024;21,80;-2,50;-2,50
11:4:56 29-7-2024;21,82;-2,50;-2,50
11:4:58 29-7-2024;21,82;-2,50;-2,50
11:5:0 29-7-2024;21,82;-2,50;-2,50
11:5:2 29-7-2024;21,82;-2,50;-2,50
11:5:4 29-7-2024;21,82;-2,50;-2,50
11:5:6 29-7-2024;21,82;-2,50;-2,50
11:5:8 29-7-2024;21,82;-2,50;-2,50
11:5:10 29-7-2024;21,82;-2,50;-2,50
11:5:12 29-7-2024;21,82;-2,50;-2,50
11:5:14 29-7-2024;21,82;-2,50;-2,50
11:5:16 29-7-2024;21,82;-2,50;-2,50
11:5:18 29-7-2024;21,82;-2,50;-2,50
11:5:20 29-7-2024;21,82;-2,50;-2,50
11:5:22 29-7-2024;21,82;-2,50;-2,50
11:5:24 29-7-2024;21,82;-2,50;-2,50
11:5:26 29-7-2024;21,82;-2,50;-2,50
11:5:28 29-7-2024;21,82;-2,50;-2,50
11:5:30 29-7-2024;21,82;-2,50;-2,50
11:5:32 29-7-2024;21,82;-2,50;-2,50
11:5:34 29-7-2024;21,82;-2,50;-2,50
11:5:36 29-7-2024;21,82;-2,50;-2,50
11:5:38 29-7-2024;21,82;-2,50;-2,50
11:5:40 29-7-2024;21,82;-2,50;-2,50
11:5:42 29-7-2024;21,82;-2,50;-2,50
11:5:44 29-7-2024;21,82;-2,50;-2,50
11:5:46 29-7-2024;21,82;-2,50;-2,50
11:5:48 29-7-2024;21,82;-2,50;-2,50
11:5:50 29-7-2024;21,82;-2,50;-2,50
11:5:52 29-7-2024;21,82;-2,50;-2,50
11:5:54 29-7-2024;21,82;-2,50;-2,50
11:5:56 29-7-2024;21,82;-2,50;-2,50
11:5:58 29-7-2024;21,82;-2,50;-2,50
11:6:0 29-7-2024;21,82;-2,50;-2,50
11:6:2 29-7-2024;21,82;-2,50;-2,50
11:6:4 29-7-2024;21,82;-2,50;-2,50
11:6:6 29-7-2024;21,82;-2,50;-2,50
11:6:8 29-7-2024;21,82;-2,50;-2,50
11:6:10 29-7-2024;21,82;-2,50;-2,50
11:6:12 29-7-2024;21,82;-2,50;-2,50
11:6:14 29-7-2024;21,82;-2,50;-2,50
11:6:16 29-7-2024;21,82;-2,50;-2,50
11:6:18 29-7-2024;21,82;-2,50;-2,50
11:6:20 29-7-2024;21,82;-2,50;-2,50
11:6:22 29-7-2024;21,82;-2,50;-2,50
11:6:24 29-7-2024;21,82;-2,50;-2,50
11:6:26 29-7-2024;21,82;-2,50;-2,50
11:6:28 29-7-2024;21,82;-2,50;-2,50
11:6:30 29-7-2024;21,82;-2,50;-2,50
11:6:32 29-7-2024;21,82;-2,50;-2,50
11:6:34 29-7-2024;21,82;-2,50;-2,50
11:6:36 29-7-2024;21,82;-2,50;-2,50
11:6:38 29-7-2024;21,82;-2,50;-2,50
11:6:40 29-7-2024;21,82;-2,50;-2,50
11:6:42 29-7-2024;21,82;-2,50;-2,50
11:6:44 29-7-2024;21,82;-2,50;-2,50
11:6:46 29-7-2024;21,82;-2,50;-2,50
11:6:48 29-7-2024;21,82;-2,50;-2,50
11:6:50 29-7-2024;21,82;-2,50;-2,50
11:6:52 29-7-2024;21,83;-2,50;-2,50
11:6:54 29-7-2024;21,82;-2,50;-2,50
11:6:56 29-7-2024;21,82;-2,50;-2,50
11:6:58 29-7-2024;21,82;-2,50;-2,50
11:7:0 29-7-2024;21,82;-2,50;-2,50
11:7:2 29-7-2024;21,82;-2,50;-2,50
11:7:4 29-7-2024;21,82;-2,50;-2,50
11:7:6 29-7-2024;21,82;-2,50;-2,50
11:7:8 29-7-2024;21,82;-2,50;-2,50
11:7:10 29-7-2024;21,82;-2,50;-2,50
11:7:12 29-7-2024;21,82;-2,50;-2,50
11:7:14 29-7-2024;21,82;-2,50;-2,50
11:7:16 29-7-2024;21,82;-2,50;-2,50
11:7:18 29-7-2024;21,82;-2,50;-2,50
11:7:20 29-7-2024;21,82;-2,50;-2,50
11:7:22 29-7-2024;21,82;-2,50;-2,50
11:7:24 29-7-2024;21,82;-2,50;-2,50
11:7:26 29-7-2024;21,82;-2,50;-2,50
11:7:28 29-7-2024;21,82;-2,50;-2,50
11:7:30 29-7-2024;21,82;-2,50;-2,50
11:7:32 29-7-2024;21,82;-2,50;-2,50
11:7:34 29-7-2024;21,82;-2,50;-2,50
11:7:36 29-7-2024;21,82;-2,50;-2,50
11:7:38 29-7-2024;21,82;-2,50;-2,50
11:7:40 29-7-2024;21,82;-2,50;-2,50
11:7:42 29-7-2024;21,82;-2,50;-2,50
11:7:44 29-7-2024;21,82;-2,50;-2,50
11:7:46 29-7-2024;21,82;-2,50;-2,50
11:7:48 29-7-2024;21,82;-2,50;-2,50
11:7:50 29-7-2024;21,82;-2,50;-2,50
11:7:52 29-7-2024;21,82;-2,50;-2,50
11:7:54 29-7-2024;21,82;-2,50;-2,50
11:7:56 29-7-2024;21,82;-2,50;-2,50
11:7:58 29-7-2024;21,82;-2,50;-2,50
11:8:0 29-7-2024;21,82;-2,50;-2,50
11:8:2 29-7-2024;21,82;-2,50;-2,50
11:8:4 29-7-2024;21,82;-2,50;-2,50
11:8:6 29-7-2024;21,82;-2,50;-2,50
11:8:8 29-7-2024;21,82;-2,50;-2,50
12:48:14 29-7-2024;14,97;-2,50;-2,50
12:48:16 29-7-2024;20,46;-2,50;-2,50
12:48:18 29-7-2024;21,48;-2,50;-2,50
12:48:20 29-7-2024;21,69;-2,50;-2,50
12:48:22 29-7-2024;21,73;-2,50;-2,50
12:48:24 29-7-2024;21,75;-2,50;-2,50
12:48:26 29-7-2024;21,73;-2,50;-2,50
12:48:28 29-7-2024;21,75;-2,50;-2,50
12:48:30 29-7-2024;21,75;-2,50;-2,50
12:48:32 29-7-2024;21,75;-2,50;-2,50
12:48:34 29-7-2024;21,75;-2,50;-2,50
12:48:36 29-7-2024;21,75;-2,50;-2,50
12:48:38 29-7-2024;21,75;-2,50;-2,50
12:48:40 29-7-2024;21,75;-2,50;-2,50
12:48:42 29-7-2024;21,75;-2,50;-2,50
12:48:44 29-7-2024;21,75;-2,50;-2,50
12:48:46 29-7-2024;21,73;-2,50;-2,50
12:48:48 29-7-2024;21,75;-2,50;-2,50
12:48:50 29-7-2024;21,75;-2,50;-2,50
12:48:52 29-7-2024;21,75;-2,50;-2,50
12:48:54 29-7-2024;21,75;-2,50;-2,50
